iter	RMSE
203	156708.0173
204	156639.8108
205	156550.7879
206	156481.9754
207	156233.6214
208	156113.6147
209	155828.3324
210	155590.3365
211	155498.6563
212	155393.067
213	155346.8129
214	155119.6682
215	154863.1241
216	154650.8709
217	154610.8979
218	154546.5584
219	154469.7572
220	154263.6979
221	154063.0833
222	153898.4544
223	153698.3278
224	153536.6764
225	153431.4361
226	153308.145
227	152820.0301
228	152501.1443
229	152283.4112
230	152216.4863
231	152042.6706
232	151956.6014
233	151920.2827
234	151679.1087
235	151623.0331
236	151449.7899
237	151269.1409
238	151077.5645
239	150920.398
240	150843.5467
241	150784.8038
242	150629.2485
243	150571.7539
244	150553.8269
245	150416.5311
246	150185.8891
247	149716.5786
248	149674.942
249	149612.6639
250	149365.3115
251	149266.8133
252	149057.8003
253	148809.8409
254	148678.0161
255	148526.1192
256	148291.9755
257	148162.8786
258	147983.1099
259	147872.456
260	147606.524
261	147154.6117
262	147030.4692
263	146965.9453
264	146819.2974
265	146586.8093
266	146473.1032
267	146251.6489
268	146217.2717
269	146071.9616
270	146002.6126
271	145896.5504
272	145824.29
273	145383.0479
274	145313.0978
275	145109.3769
276	144975.599
277	144806.9026
278	144749.0426
279	144576.7084
280	144402.9413
281	144312.5288
282	144188.0906
283	144072.8194
284	143947.98
285	143857.1033
286	143718.3712
287	143629.6377
288	143200.6367
289	143149.1954
290	143073.8908
291	143008.3419
292	142852.2208
293	142769.951
294	142717.7247
295	142640.776
296	142477.0296
297	142396.3967
298	142346.5741
299	142223.597
300	142200.4202
301	142080.716
302	141938.6515
303	141867.7086
304	141777.6225
305	141702.7415
306	141633.6563
307	141509.2179
308	141405.988
309	141267.3411
310	141221.643
311	141135.7092
312	141081.4435
313	140900.2038
314	140842.8966
315	140777.6664
316	140714.4202
317	140614.5434
318	140532.8269
319	140472.7628
320	140398.451
321	140369.4098
322	140324.6734
323	140280.9027
324	140221.121
325	140168.6998
326	140072.3149
327	140002.3528
328	139901.1078
329	139859.0983
330	139701.8932
331	139654.5433
332	139538.3058
333	139475.6239
334	139300.4915
335	138874.279
336	138544.9512
337	138440.9265
338	138340.0113
339	138298.4458
340	138248.4735
341	138210.4982
342	138170.5345
343	138129.7242
344	137982.827
345	137908.0464
346	137857.3788
347	137805.0996
348	137385.9665
349	137342.5801
350	137199.9468
351	137149.6092
352	137011.7059
353	136618.3005
354	136531.6091
355	136476.9319
356	136443.8546
357	136352.31
358	136265.2518
359	136222.634
360	136182.4424
361	136136.6967
362	136128.2108
363	136095.1637
364	135950.2064
365	135920.5976
366	135878.3174
367	135747.5765
368	135680.5542
369	135653.2872
370	135620.3421
371	135531.7135
372	135405.9455
373	135375.3711
374	135329.2452
375	135260.3505
376	135216.2257
377	134831.378
378	134458.1854
379	134414.9162
380	134305.0679
381	134264.7525
382	134245.7198
383	134144.5369
384	134116.1457
385	134072.0419
386	133948.9827
387	133887.4944
388	133860.0829
389	133769.492
390	133648.9971
391	133533.898
392	133499.1189
393	133125.5181
394	133047.7409
395	132697.5516
396	132677.0183
397	132636.2592
398	132605.9232
399	132539.1544
400	132427.1721
401	132400.818
402	132366.3527
403	132256.4545
404	132219.1872
405	132114.3032
406	132012.8941
407	131672.8826
408	131639.2218
409	131605.6109
410	131263.9452
411	131230.3707
412	131174.161
413	131075.4952
414	131052.8114
415	131016.9814
416	130945.4908
417	130901.4557
418	130847.238
419	130817.2485
420	130721.6217
421	130621.1019
422	130552.0289
423	130520.8706
424	130481.9972
425	130452.1197
426	130434.5089
427	130405.6888
428	130341.319
429	130018.6427
430	129983.9725
431	129894.0109
432	129845.0415
433	129816.1386
434	129503.1854
435	129448.8605
436	129332.7973
437	129305.5215
438	129265.3199
439	129229.279
440	129163.0381
441	129092.5254
442	129061.2752
443	129036.5576
444	129010.8371
445	128923.3045
446	128618.8911
447	128592.7564
448	128497.1408
449	128453.1472
450	128410.7585
451	128332.6
452	128247.5681
453	128224.4157
454	128201.683
455	128075.042
456	127933.9562
457	127902.0894
458	127785.038
459	127761.3447
460	127717.2162
461	127695.1413
462	127676.9197
463	127626.3126
464	127331.2472
465	127289.7313
466	127167.5793
467	127084.6441
468	127053.8801
469	126831.8539
470	126734.7492
471	126713.3115
472	126681.12
473	126627.9923
474	126608.3853
475	126564.9548
476	126468.6779
477	126439.471
478	126399.0559
479	126318.4343
480	126286.2366
481	126271.2851
482	126231.9591
483	126151.0997
484	126132.3954
485	126054.3168
486	125997.2223
487	125921.5699
488	125885.3995
489	125831.1418
490	125756.6277
491	125730.8911
492	125683.6376
493	125554.9751
494	125536.2836
495	125411.7797
496	125375.4416
497	125279.5276
498	125262.6736
499	125246.3204
500	125215.8766
501	125165.7421
502	125124.5303
503	125047.1413
504	124957.807
505	124873.8995
506	124844.1563
507	124769.5684
508	124728.6049
509	124705.2887
510	124689.8761
511	124675.2931
512	124660.5847
513	124638.143
514	124571.3494
515	124516.2697
516	124476.144
517	124454.8846
518	124426.9571
519	124395.7201
520	124376.7346
521	124356.1436
522	124320.4517
523	124283.1441
524	124250.6778
525	124216.0376
526	124070.117
527	124039.5743
528	124025.576
529	124001.1591
530	123970.8487
531	123956.9063
532	123943.9753
533	123908.5568
534	123893.6366
535	123861.2116
536	123823.6559
537	123805.2402
538	123770.4481
539	123736.629
540	123719.4119
541	123699.1759
542	123680.182
543	123643.2369
544	123579.0257
545	123535.8526
546	123517.0523
547	123505.4124
548	123471.1177
549	123434.3245
550	123400.2256
551	123320.2474
552	123283.8114
553	123149.8368
554	123130.4442
555	123095.3249
556	123013.7935
557	122980.4383
558	122941.674
559	122914.8239
560	122875.9111
561	122825.2594
562	122790.6145
563	122780.1629
564	122752.343
565	122709.1632
566	122431.152
567	122363.3604
568	122336.803
569	122317.4758
570	122304.4866
571	122273.4466
572	122228.2334
573	122123.7381
574	122086.2357
575	122039.5105
576	121993.2346
577	121950.357
578	121925.6184
579	121904.4136
580	121881.8334
581	121856.433
582	121834.0343
583	121818.5473
584	121749.6832
585	121724.855
586	121710.5727
587	121680.9236
588	121621.9401
589	121570.7997
590	121299.812
591	121278.7574
592	121267.2329
593	121209.2865
594	120947.3672
595	120918.4091
596	120873.2561
597	120858.0671
598	120829.517
599	120810.7451
600	120784.0867
601	120755.2896
602	120742.8308
603	120694.527
604	120671.6661
605	120660.4889
606	120650.9173
607	120619.0354
608	120365.8082
609	120336.3778
610	120233.06
611	120205.1537
612	120131.612
613	120105.3507
614	120081.4376
615	120061.7238
616	120029.4263
617	119955.6954
618	119938.5519
619	119870.8243
620	119835.5048
621	119588.3151
622	119545.9769
623	119527.108
624	119505.6713
625	119476.5595
626	119454.2872
627	119414.4532
628	119315.4494
629	119226.3703
630	119203.1506
631	119196.8435
632	119171.2818
633	119150.8667
634	119121.9186
635	118878.4132
636	118869.689
637	118861.3702
638	118841.0474
639	118825.0653
640	118815.4843
641	118801.0514
642	118568.1885
643	118472.0433
644	118247.0595
645	118228.2506
646	118198.4352
647	118129.1357
648	118102.7546
649	118065.155
650	118001.6546
651	117977.7814
652	117956.3654
653	117905.0975
654	117885.7034
655	117792.473
656	117784.4465
657	117749.6343
658	117711.9268
659	117704.4559
660	117478.1941
661	117442.9726
662	117419.5866
663	117391.0397
664	117351.2883
665	117321.6261
666	117231.1764
667	117139.7785
668	117109.8267
669	117025.1704
670	116989.9196
671	116971.2449
672	116951.6627
673	116924.4239
674	116904.6154
675	116822.717
676	116789.8503
677	116727.7855
678	116687.3199
679	116663.5046
680	116656.9004
681	116629.0883
682	116591.8428
683	116573.8911
684	116359.6846
685	116335.9266
686	116326.9095
687	116266.6704
688	116208.44
689	116000.8188
690	115978.5488
691	115945.7984
692	115841.7828
693	115817.6679
694	115791.0442
695	115711.2979
696	115700.3844
697	115681.5803
698	115474.084
699	115450.796
700	115394.0786
701	115339.2521
702	115319.0105
703	115299.8027
704	115104.3998
705	115001.2119
706	114984.0706
707	114944.6605
708	114912.6903
709	114904.4329
710	114878.6468
711	114801.0067
712	114704.4244
713	114696.1071
714	114661.884
715	114629.2841
716	114605.9826
717	114573.5835
718	114543.4243
719	114531.9633
720	114478.6261
721	114459.9337
722	114435.1775
723	114271.9545
724	114238.4887
725	114053.0185
726	114027.7362
727	113991.69
728	113939.7925
729	113887.8895
730	113849.6841
731	113834.444
732	113758.71
733	113750.9066
734	113731.9893
735	113718.2329
736	113710.7699
737	113527.0614
738	113501.3433
739	113469.748
740	113374.1659
741	113323.1534
742	113249.8402
743	113232.2916
744	113205.2488
745	113188.8032
746	113164.8671
747	113068.8703
748	113049.5277
749	113024.9601
750	112976.0593
751	112944.7643
752	112923.2654
753	112850.4574
754	112830.4096
755	112740.051
756	112728.0844
757	112547.4235
758	112499.9754
759	112444.0761
760	112420.9791
761	112393.0437
762	112304.2457
763	112295.0774
764	112286.5301
765	112264.3861
766	112254.152
767	112235.7857
768	112219.7092
769	112202.6618
770	112120.3743
771	112113.146
772	111942.7739
773	111893.7374
774	111860.611
775	111842.2287
776	111835.8406
777	111704.0277
778	111675.4561
779	111657.9086
780	111635.3354
781	111555.5355
782	111548.7201
783	111385.6089
784	111308.5198
785	111266.5621
786	111244.2336
787	111218.9575
788	111057.4733
789	111039.2216
790	111021.2351
791	111000.3667
792	110986.6665
793	110914.5575
794	110882.0069
795	110836.3864
796	110819.9366
797	110806.5341
798	110789.6019
799	110773.9092
800	110767.7812
801	110711.9524
802	110642.0649
803	110624.3456
804	110594.5999
805	110579.8006
806	110570.8966
807	110526.0607
808	110505.8985
809	110487.1101
810	110468.5915
811	110439.7435
812	110424.8064
813	110407.8452
814	110394.956
815	110327.2517
816	110299.5427
817	110260.2301
818	110237.0001
819	110223.3737
820	110203.7973
821	110127.2046
822	110102.3275
823	110022.8836
824	109989.8373
825	109966.0735
826	109921.0328
827	109909.5629
828	109902.8773
829	109860.2256
830	109836.7288
831	109822.6449
832	109807.7217
833	109764.2121
834	109749.855
835	109737.0665
836	109725.4864
837	109684.1518
838	109620.5384
839	109608.9778
840	109593.6408
841	109576.5548
842	109562.5306
843	109549.1187
844	109530.5171
845	109516.9983
846	109501.1559
847	109494.8528
848	109471.7666
849	109460.2795
850	109447.1637
851	109440.3494
852	109414.0476
853	109392.7282
854	109374.4177
855	109346.0475
856	109336.1334
857	109308.2892
858	109292.8631
859	109137.8737
860	109124.8963
861	109054.1574
862	108904.1001
863	108882.9471
864	108841.9927
865	108831.6238
866	108817.224
867	108807.2032
868	108791.6091
869	108778.7515
870	108635.106
871	108496.3679
872	108483.6626
873	108472.7799
874	108462.4499
875	108448.2893
876	108433.4927
877	108424.8829
878	108412.19
879	108383.386
880	108309.1027
881	108295.3094
882	108278.3981
883	108255.3726
884	108123.0499
885	108107.193
886	108068.38
887	108057.1232
888	108042.9288
889	108027.5634
890	108011.1154
891	107982.1278
892	107973.4702
893	107959.8057
894	107938.9792
895	107928.4036
896	107918.284
897	107911.2893
898	107893.5494
899	107873.2314
900	107857.5345
901	107831.954
902	107814.1084
903	107795.2095
904	107726.8818
905	107598.302
906	107580.5178
907	107571.1651
908	107558.1969
909	107548.5757
910	107539.3165
911	107529.0391
912	107518.9914
913	107509.4909
914	107480.3962
915	107409.2338
916	107396.5812
917	107371.4252
918	107356.4057
919	107226.5002
920	107164.7257
921	107145.1567
922	107134.268
923	107112.3431
924	107089.8898
925	107074.8055
926	107067.0247
927	107046.7489
928	107027.3857
929	106967.1302
930	106946.2999
931	106928.1183
932	106916.2637
933	106898.1494
934	106858.5454
935	106848.1609
936	106842.1722
937	106826.0658
938	106767.8225
939	106744.1527
940	106688.1287
941	106673.7851
942	106651.8409
943	106646.3876
944	106609.3229
945	106554.8171
946	106526.9789
947	106512.3331
948	106504.9259
949	106479.7738
950	106470.533
951	106458.2644
952	106422.6744
953	106413.6683
954	106396.9658
955	106386.7224
956	106261.893
957	106249.972
958	106240.5132
959	106225.5058
960	106215.1348
961	106210.2618
962	106197.5098
963	106188.4386
964	106182.4937
965	106129.8555
966	106110.5667
967	106101.2575
968	106093.5931
969	106084.0015
970	106073.4656
971	106059.6701
972	106039.2619
973	106030.9079
974	106022.2486
975	105995.0066
976	105971.0944
977	105959.699
978	105908.7026
979	105901.2669
980	105875.443
981	105867.3841
982	105848.6532
983	105823.8403
984	105807.9324
985	105794.3156
986	105788.5167
987	105781.044
988	105758.5221
989	105749.365
990	105742.0852
991	105692.3029
992	105679.0008
993	105654.6469
994	105640.9369
995	105632.3412
996	105618.1835
997	105590.1018
998	105579.413
999	105558.824
